,Description,Typical Array,Mean,Standard Deviation,5%,95%,Input
0,"Sum 3d6, 6 Attrs",6.77; 8.55; 9.88; 11.12; 12.45; 14.23,15.97,8.4,3,30,"[3, 3, 6, 0, 6, 6, 1, 0]"
1,"Sum 3d6, 6 Attrs, Reroll 1s",8.92; 10.38; 11.49; 12.51; 13.61; 15.08,25.91,7.61,14,39,"[3, 3, 6, 0, 6, 6, 1, 1]"
2,"Sum 3d6, 6 Attrs, Reroll 1s/2s",11.07; 12.23; 13.1; 13.9; 14.77; 15.93,36.75,7.25,26,50,"[3, 3, 6, 0, 6, 6, 1, 2]"
3,"Sum 4d6k3, 6 Attrs",8.5; 10.41; 11.76; 12.96; 14.17; 15.66,28.5,9.13,14,44,"[4, 3, 6, 0, 6, 6, 1, 0]"
4,"Sum 4d6k3, 6 Attrs, Reroll 1s",10.32; 11.91; 13.04; 14.03; 15.04; 16.26,37.41,8.7,24,52,"[4, 3, 6, 0, 6, 6, 1, 1]"
5,"Sum 4d6k3, 6 Attrs, Reroll 1s/2s",12.14; 13.41; 14.31; 15.1; 15.9; 16.85,47.71,8.44,34,62,"[4, 3, 6, 0, 6, 6, 1, 2]"
6,"Sum 5d6k3, 6 Attrs",9.93; 11.8; 13.06; 14.14; 15.21; 16.44,38.04,9.48,23,54,"[5, 3, 6, 0, 6, 6, 1, 0]"
7,"Sum 5d6k3, 6 Attrs, Reroll 1s",11.51; 13.06; 14.12; 15.01; 15.89; 16.9,46.51,9.14,32,62,"[5, 3, 6, 0, 6, 6, 1, 1]"
8,"Sum 5d6k3, 6 Attrs, Reroll 1s/2s",13.08; 14.33; 15.17; 15.88; 16.58; 17.34,56.47,8.73,42,71,"[5, 3, 6, 0, 6, 6, 1, 2]"
9,"Sum 3d6, 7k6 Attrs",8.2; 9.42; 10.5; 11.58; 12.8; 14.47,20.26,8.16,8,34,"[3, 3, 6, 0, 7, 6, 1, 0]"
10,"Sum 3d6, 7k6 Attrs, Reroll 1s",10.1; 11.1; 12.0; 12.9; 13.9; 15.28,29.53,7.6,18,43,"[3, 3, 6, 0, 7, 6, 1, 1]"
11,"Sum 3d6, 7k6 Attrs, Reroll 1s/2s",12.0; 12.79; 13.5; 14.21; 15.0; 16.08,39.95,7.38,29,53,"[3, 3, 6, 0, 7, 6, 1, 2]"
12,"Sum 4d6k3, 7k6 Attrs",10.05; 11.3; 12.37; 13.39; 14.49; 15.86,33.04,8.98,19,49,"[4, 3, 6, 0, 7, 6, 1, 0]"
13,"Sum 4d6k3, 7k6 Attrs, Reroll 1s",11.62; 12.66; 13.55; 14.39; 15.3; 16.42,41.55,8.73,28,57,"[4, 3, 6, 0, 7, 6, 1, 1]"
14,"Sum 4d6k3, 7k6 Attrs, Reroll 1s/2s",13.17; 14.0; 14.71; 15.39; 16.1; 16.98,51.65,8.53,38,66,"[4, 3, 6, 0, 7, 6, 1, 2]"
15,"Sum 5d6k3, 7k6 Attrs",11.46; 12.64; 13.62; 14.53; 15.48; 16.6,42.71,9.37,28,59,"[5, 3, 6, 0, 7, 6, 1, 0]"
16,"Sum 5d6k3, 7k6 Attrs, Reroll 1s",12.78; 13.77; 14.58; 15.34; 16.12; 17.03,50.96,9.16,36,67,"[5, 3, 6, 0, 7, 6, 1, 1]"
17,"Sum 5d6k3, 7k6 Attrs, Reroll 1s/2s",14.1; 14.89; 15.54; 16.13; 16.75; 17.44,60.87,8.72,47,75,"[5, 3, 6, 0, 7, 6, 1, 2]"
18,"Sum 3d6, 10k6 Attrs",10.12; 10.88; 11.66; 12.51; 13.52; 14.98,27.52,7.91,15,41,"[3, 3, 6, 0, 10, 6, 1, 0]"
19,"Sum 3d6, 10k6 Attrs, Reroll 1s",11.69; 12.31; 12.96; 13.66; 14.5; 15.7,36.01,7.63,25,50,"[3, 3, 6, 0, 10, 6, 1, 1]"
20,"Sum 3d6, 10k6 Attrs, Reroll 1s/2s",13.25; 13.75; 14.26; 14.81; 15.47; 16.41,46.19,7.68,35,60,"[3, 3, 6, 0, 10, 6, 1, 2]"
21,"Sum 4d6k3, 10k6 Attrs",12.01; 12.75; 13.48; 14.25; 15.12; 16.27,40.98,8.88,27,56,"[4, 3, 6, 0, 10, 6, 1, 0]"
22,"Sum 4d6k3, 10k6 Attrs, Reroll 1s",13.24; 13.85; 14.46; 15.1; 15.82; 16.76,49.2,8.83,35,64,"[4, 3, 6, 0, 10, 6, 1, 1]"
23,"Sum 4d6k3, 10k6 Attrs, Reroll 1s/2s",14.48; 14.96; 15.44; 15.95; 16.52; 17.23,59.49,8.52,46,74,"[4, 3, 6, 0, 10, 6, 1, 2]"
24,"Sum 5d6k3, 10k6 Attrs",13.3; 13.96; 14.61; 15.28; 16.01; 16.93,51.14,9.35,36,67,"[5, 3, 6, 0, 10, 6, 1, 0]"
25,"Sum 5d6k3, 10k6 Attrs, Reroll 1s",14.32; 14.87; 15.4; 15.95; 16.56; 17.29,59.41,9.06,45,75,"[5, 3, 6, 0, 10, 6, 1, 1]"
26,"Sum 5d6k3, 10k6 Attrs, Reroll 1s/2s",15.33; 15.76; 16.18; 16.62; 17.1; 17.63,69.17,8.22,55,84,"[5, 3, 6, 0, 10, 6, 1, 2]"
27,"Sum 3d6, 12k6 Attrs",10.82; 11.47; 12.15; 12.92; 13.86; 15.23,30.66,7.83,19,44,"[3, 3, 6, 0, 12, 6, 1, 0]"
28,"Sum 3d6, 12k6 Attrs, Reroll 1s",12.26; 12.8; 13.37; 14.0; 14.78; 15.9,38.95,7.71,27,53,"[3, 3, 6, 0, 12, 6, 1, 1]"
