,Description,Typical Array,Mean,Standard Deviation,5%,95%,Input
0,"Sum 3d6, 6 Attrs",6.77; 8.55; 9.88; 11.12; 12.45; 14.23,4.12,9.76,-12,21,"[3, 3, 6, 0, 6, 6, 1, 0]"
1,"Sum 3d6, 6 Attrs, Reroll 1s",8.91; 10.38; 11.49; 12.51; 13.62; 15.09,15.59,8.58,3,31,"[3, 3, 6, 0, 6, 6, 1, 1]"
2,"Sum 3d6, 6 Attrs, Reroll 1s/2s",11.07; 12.23; 13.1; 13.91; 14.78; 15.93,27.85,8.34,15,42,"[3, 3, 6, 0, 6, 6, 1, 2]"
3,"Sum 4d6k3, 6 Attrs",8.5; 10.41; 11.76; 12.95; 14.18; 15.66,18.47,10.41,2,36,"[4, 3, 6, 0, 6, 6, 1, 0]"
4,"Sum 4d6k3, 6 Attrs, Reroll 1s",10.32; 11.91; 13.04; 14.03; 15.04; 16.26,28.63,9.85,13,46,"[4, 3, 6, 0, 6, 6, 1, 1]"
5,"Sum 4d6k3, 6 Attrs, Reroll 1s/2s",12.14; 13.41; 14.31; 15.1; 15.9; 16.85,40.36,9.5,25,56,"[4, 3, 6, 0, 6, 6, 1, 2]"
6,"Sum 5d6k3, 6 Attrs",9.93; 11.8; 13.06; 14.14; 15.21; 16.44,29.34,10.74,12,48,"[5, 3, 6, 0, 6, 6, 1, 0]"
7,"Sum 5d6k3, 6 Attrs, Reroll 1s",11.51; 13.07; 14.12; 15.01; 15.89; 16.9,38.95,10.3,23,56,"[5, 3, 6, 0, 6, 6, 1, 1]"
8,"Sum 5d6k3, 6 Attrs, Reroll 1s/2s",13.08; 14.33; 15.17; 15.88; 16.58; 17.34,50.26,9.72,35,67,"[5, 3, 6, 0, 6, 6, 1, 2]"
9,"Sum 3d6, 7k6 Attrs",8.2; 9.41; 10.5; 11.58; 12.8; 14.47,9.23,9.17,-5,25,"[3, 3, 6, 0, 7, 6, 1, 0]"
10,"Sum 3d6, 7k6 Attrs, Reroll 1s",10.1; 11.11; 12.0; 12.9; 13.9; 15.28,19.55,8.65,6,35,"[3, 3, 6, 0, 7, 6, 1, 1]"
11,"Sum 3d6, 7k6 Attrs, Reroll 1s/2s",12.0; 12.79; 13.5; 14.21; 15.0; 16.08,31.56,8.53,18,47,"[3, 3, 6, 0, 7, 6, 1, 2]"
12,"Sum 4d6k3, 7k6 Attrs",10.05; 11.3; 12.37; 13.39; 14.49; 15.86,23.62,10.17,8,41,"[4, 3, 6, 0, 7, 6, 1, 0]"
13,"Sum 4d6k3, 7k6 Attrs, Reroll 1s",11.61; 12.66; 13.54; 14.39; 15.3; 16.42,33.31,9.95,18,50,"[4, 3, 6, 0, 7, 6, 1, 1]"
14,"Sum 4d6k3, 7k6 Attrs, Reroll 1s/2s",13.17; 14.01; 14.71; 15.39; 16.1; 16.98,45.0,9.55,30,61,"[4, 3, 6, 0, 7, 6, 1, 2]"
