,Description,Typical Array,Mean,Standard Deviation,5%,95%,Input
0,"Sum 3d6, 6 Attrs",6.77; 8.55; 9.88; 11.12; 12.45; 14.23,3.0,11.07,-15,21,"[3, 3, 6, 0, 6, 6, 1, 0]"
1,"Sum 3d6, 6 Attrs, Reroll 1s",8.91; 10.38; 11.49; 12.51; 13.62; 15.09,15.89,9.19,2,32,"[3, 3, 6, 0, 6, 6, 1, 1]"
2,"Sum 3d6, 6 Attrs, Reroll 1s/2s",11.07; 12.22; 13.1; 13.9; 14.78; 15.93,28.78,9.01,15,45,"[3, 3, 6, 0, 6, 6, 1, 2]"
3,"Sum 4d6k3, 6 Attrs",8.5; 10.41; 11.76; 12.96; 14.18; 15.66,18.83,11.39,1,38,"[4, 3, 6, 0, 6, 6, 1, 0]"
4,"Sum 4d6k3, 6 Attrs, Reroll 1s",10.32; 11.91; 13.04; 14.03; 15.04; 16.26,29.83,10.68,13,48,"[4, 3, 6, 0, 6, 6, 1, 1]"
5,"Sum 4d6k3, 6 Attrs, Reroll 1s/2s",12.14; 13.41; 14.31; 15.1; 15.9; 16.85,42.43,10.44,26,60,"[4, 3, 6, 0, 6, 6, 1, 2]"
6,"Sum 5d6k3, 6 Attrs",9.93; 11.8; 13.06; 14.14; 15.21; 16.44,30.62,11.69,12,51,"[5, 3, 6, 0, 6, 6, 1, 0]"
7,"Sum 5d6k3, 6 Attrs, Reroll 1s",11.51; 13.06; 14.12; 15.02; 15.9; 16.9,41.01,11.27,23,60,"[5, 3, 6, 0, 6, 6, 1, 1]"
8,"Sum 5d6k3, 6 Attrs, Reroll 1s/2s",13.08; 14.33; 15.17; 15.88; 16.58; 17.34,53.37,10.75,36,71,"[5, 3, 6, 0, 6, 6, 1, 2]"
9,"Sum 3d6, 7k6 Attrs",8.2; 9.42; 10.5; 11.58; 12.8; 14.47,9.09,9.96,-7,26,"[3, 3, 6, 0, 7, 6, 1, 0]"
10,"Sum 3d6, 7k6 Attrs, Reroll 1s",10.1; 11.1; 12.0; 12.9; 13.9; 15.28,20.07,9.19,6,36,"[3, 3, 6, 0, 7, 6, 1, 1]"
11,"Sum 3d6, 7k6 Attrs, Reroll 1s/2s",12.0; 12.79; 13.5; 14.21; 15.0; 16.08,32.66,9.29,19,49,"[3, 3, 6, 0, 7, 6, 1, 2]"
12,"Sum 4d6k3, 7k6 Attrs",10.06; 11.3; 12.37; 13.39; 14.49; 15.86,24.47,10.93,8,43,"[4, 3, 6, 0, 7, 6, 1, 0]"
13,"Sum 4d6k3, 7k6 Attrs, Reroll 1s",11.61; 12.66; 13.54; 14.39; 15.3; 16.42,34.74,10.82,18,54,"[4, 3, 6, 0, 7, 6, 1, 1]"
14,"Sum 4d6k3, 7k6 Attrs, Reroll 1s/2s",13.17; 14.0; 14.71; 15.39; 16.1; 16.98,47.44,10.61,30,65,"[4, 3, 6, 0, 7, 6, 1, 2]"
15,"Sum 5d6k3, 7k6 Attrs",11.46; 12.64; 13.62; 14.53; 15.48; 16.6,36.24,11.6,18,56,"[5, 3, 6, 0, 7, 6, 1, 0]"
16,"Sum 5d6k3, 7k6 Attrs, Reroll 1s",12.78; 13.77; 14.58; 15.34; 16.12; 17.03,46.49,11.37,28,66,"[5, 3, 6, 0, 7, 6, 1, 1]"
17,"Sum 5d6k3, 7k6 Attrs, Reroll 1s/2s",14.1; 14.89; 15.54; 16.14; 16.75; 17.44,58.88,10.68,41,77,"[5, 3, 6, 0, 7, 6, 1, 2]"
18,"Sum 3d6, 10k6 Attrs",10.12; 10.88; 11.66; 12.51; 13.53; 14.99,17.64,9.42,4,34,"[3, 3, 6, 0, 10, 6, 1, 0]"
19,"Sum 3d6, 10k6 Attrs, Reroll 1s",11.68; 12.31; 12.96; 13.66; 14.5; 15.7,27.69,9.56,13,45,"[3, 3, 6, 0, 10, 6, 1, 1]"
20,"Sum 3d6, 10k6 Attrs, Reroll 1s/2s",13.25; 13.75; 14.26; 14.81; 15.47; 16.41,40.66,9.69,26,57,"[3, 3, 6, 0, 10, 6, 1, 2]"
21,"Sum 4d6k3, 10k6 Attrs",12.01; 12.74; 13.47; 14.24; 15.12; 16.27,33.94,11.11,17,53,"[4, 3, 6, 0, 10, 6, 1, 0]"
22,"Sum 4d6k3, 10k6 Attrs, Reroll 1s",13.25; 13.85; 14.46; 15.1; 15.82; 16.76,44.39,11.06,27,63,"[4, 3, 6, 0, 10, 6, 1, 1]"
23,"Sum 4d6k3, 10k6 Attrs, Reroll 1s/2s",14.48; 14.96; 15.44; 15.95; 16.52; 17.23,57.3,10.37,40,74,"[4, 3, 6, 0, 10, 6, 1, 2]"
24,"Sum 5d6k3, 10k6 Attrs",13.3; 13.96; 14.61; 15.28; 16.01; 16.93,46.78,11.65,28,67,"[5, 3, 6, 0, 10, 6, 1, 0]"
25,"Sum 5d6k3, 10k6 Attrs, Reroll 1s",14.32; 14.87; 15.4; 15.95; 16.56; 17.29,57.13,11.07,39,76,"[5, 3, 6, 0, 10, 6, 1, 1]"
26,"Sum 5d6k3, 10k6 Attrs, Reroll 1s/2s",15.33; 15.76; 16.18; 16.62; 17.1; 17.63,69.1,9.89,52,86,"[5, 3, 6, 0, 10, 6, 1, 2]"
27,"Sum 3d6, 12k6 Attrs",10.82; 11.47; 12.15; 12.92; 13.86; 15.23,21.23,9.53,7,38,"[3, 3, 6, 0, 12, 6, 1, 0]"
28,"Sum 3d6, 12k6 Attrs, Reroll 1s",12.26; 12.8; 13.37; 14.0; 14.78; 15.9,31.33,9.79,17,49,"[3, 3, 6, 0, 12, 6, 1, 1]"
29,"Sum 3d6, 12k6 Attrs, Reroll 1s/2s",13.71; 14.13; 14.58; 15.08; 15.69; 16.57,44.57,9.72,29,61,"[3, 3, 6, 0, 12, 6, 1, 2]"
30,"Sum 4d6k3, 12k6 Attrs",12.69; 13.3; 13.93; 14.61; 15.4; 16.45,38.38,11.22,21,58,"[4, 3, 6, 0, 12, 6, 1, 0]"
31,"Sum 4d6k3, 12k6 Attrs, Reroll 1s",13.81; 14.31; 14.84; 15.4; 16.05; 16.91,49.01,10.99,31,67,"[4, 3, 6, 0, 12, 6, 1, 1]"
